Quelle mesure de sécurité je dois prendre si je dois aller visiter un appartement à louer?,"Le coronavirus (COVID-19) peut vivre sur les objets et les surfaces de quelques heures à quelques jours. *   de 3 heures sur les objets avec surfaces sèches; *   de 6 jours sur les objets avec surfaces humides. Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus. À cet effet, utilisez de l’eau et du savon ou des produits de nettoyage à usage domestique et une solution désinfectante. Pour plus d’information, consultez le [_Guide autosoins_]( ) ."
"Quelles sont les précautions à prendre avant d'aller visiter un logement","Le coronavirus (COVID-19) peut vivre sur les objets et les surfaces de quelques heures à quelques jours. *   de 3 heures sur les objets avec surfaces sèches; *   de 6 jours sur les objets avec surfaces humides. Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus. À cet effet, utilisez de l’eau et du savon ou des produits de nettoyage à usage domestique et une solution désinfectante. Pour plus d’information, consultez le [_Guide autosoins_]( ) ."
Le transfert vers le CHSLD pourra se faire quand la pandémie sera terminée,"La personne peut toujours exprimer son choix d’hébergement. Toutefois, en période de pandémie, l’établissement accordera priorité à la réponse aux besoins de la personne à héberger et à la disponibilité des places en CHSLD. Si le milieu d’hébergement retenu ne correspond pas au milieu souhaité par la personne, le transfert vers le CHSLD de son choix pourra être organisé quand la période de la pandémie sera terminée."
"Est-que quelqu'un peut aider les résidents en CHSLDpour faire un appel téléphonique?","Le personnel des CHSLD comprend qu’il est important de maintenir le lien entre le résident et ses proches. Au besoin, il pourra aider le résident à utiliser le téléphone ou tout autre outil de communication pour lui permettre de rester en contact avec ses proches. De plus, des personnes désignées par le CHSLD auront la responsabilité de contacter régulièrement les familles ou les proches pour les tenir informés de l’état de santé et du bien-être du résident."
"Est-ce qu'un un déménageur peut refuser un déménagement dans les CHSLD ?","La personne peut toujours exprimer son choix d’hébergement. Toutefois, en période de pandémie, l’établissement accordera priorité à la réponse aux besoins de la personne à héberger et à la disponibilité des places en CHSLD. Si le milieu d’hébergement retenu ne correspond pas au milieu souhaité par la personne, le transfert vers le CHSLD de son choix pourra être organisé quand la période de la pandémie sera terminée."
"Est-ce que tous les CHSLD disposent d'une visite virtuelle ?","Depuis le 13 mars 2020, les visites dans les CHSLD sont interdites afin de protéger les personnes les plus vulnérables ainsi que les travailleuses et travailleurs du réseau de la santé et des services sociaux, sauf pour des raisons humanitaires. Ainsi, dans le cas de la fin de vie imminente, la présence d’une ou deux personnes significatives auprès de la personne n’est pas considérée comme un visiteur."
Comment je fais pour contacter un proche qui est en CHSLD?,"Le personnel des CHSLD comprend qu’il est important de maintenir le lien entre le résident et ses proches. Au besoin, il pourra aider le résident à utiliser le téléphone ou tout autre outil de communication pour lui permettre de rester en contact avec ses proches. De plus, des personnes désignées par le CHSLD auront la responsabilité de contacter régulièrement les familles ou les proches pour les tenir informés de l’état de santé et du bien-être du résident."
Moyens de communication mis en place dans les CHSLD.,"Le personnel des CHSLD comprend qu’il est important de maintenir le lien entre le résident et ses proches. Au besoin, il pourra aider le résident à utiliser le téléphone ou tout autre outil de communication pour lui permettre de rester en contact avec ses proches. De plus, des personnes désignées par le CHSLD auront la responsabilité de contacter régulièrement les familles ou les proches pour les tenir informés de l’état de santé et du bien-être du résident."
Liste des déménageurs durant la pandémie.,"Pour l’instant, aucune liste n’a été établie. Discutez de votre situation avec votre gestionnaire qui analysera votre situation particulière."
Quel outil je peux utiliser pour contacter un proche qui est en CHSLD?,"Le personnel des CHSLD comprend qu’il est important de maintenir le lien entre le résident et ses proches. Au besoin, il pourra aider le résident à utiliser le téléphone ou tout autre outil de communication pour lui permettre de rester en contact avec ses proches. De plus, des personnes désignées par le CHSLD auront la responsabilité de contacter régulièrement les familles ou les proches pour les tenir informés de l’état de santé et du bien-être du résident."
